"lang"
{
	"Language"	"schinese"
		"destroyed_goodguys_melee_rax"									"夜魇方重生时间减少2秒"
		"destroyed_goodguys_range_rax"									"夜魇方重生时间减少1秒"
		"destroyed_goodguys_all_rax"									"天辉方所有兵营已被摧毁。夜魇方重生时间减少2秒"
		"destroyed_badguys_melee_rax"									"天辉方重生时间减少2秒"
		"destroyed_badguys_range_rax"									"天辉方重生时间减少1秒"
		"destroyed_badguys_all_rax"										"夜魇方所有兵营已被摧毁。天辉方重生时间减少2秒"

		"cannotgiveiteminthiscourier"			                        "你不可以移动该信使携带的物品。"
		"alreadyhaveprivatecourier"			                            "你已经拥有一个私人信使。"
		"DOTA_Tooltip_ability_item_patreon_courier"			            "个人信使"
        "DOTA_Tooltip_ability_item_patreon_courier_Description"			"<h1>启用个人信使</h1>启用一个可以运载物品往返于基地的信使。只有你个人可以使用信使。只有高等级支持者（$25）可以购买该物品。"

        "DOTA_Tooltip_ability_item_disable_help_custom"					"禁止辅助"
		"DOTA_Tooltip_ability_item_disable_help_custom_Description"		"<h1>使用: 禁止辅助</h1> 禁止辅助“ 施放于队友身上，使该队友无法使用其技能来骚扰你。你也可以选择在积分榜中勾选复选框来启用该功能。"
		"DOTA_Tooltip_ability_item_disable_help_custom_Lore"			"有损友若此，何须仇敌？"

		"DOTA_Tooltip_ability_item_mute_custom"					        "屏蔽玩家"
		"DOTA_Tooltip_ability_item_mute_custom_Description"				"<h1>使用: 屏蔽玩家</h1> 屏蔽玩家” 施放于你先屏蔽的玩家身上。你也可以选择在积分榜中点击音量按钮来屏蔽玩家。"
		"DOTA_Tooltip_ability_item_mute_custom_Lore"							"沉默是金"

		"fast_buy_items"                            "还不能购买"
        "you_can_buy_only_one_item"                    "你只能购买一个该类型的物品"
        "you_cannot_buy_more_items_this_type"        "你不能购买更多该类型的物品"

		"allcouriersdie"					                            "所有信使已死亡"

		"rapier_small_networth"					                        "您的净值不足以买圣剑 (需要2万以上)"
		"rapier_littleKD"					                            "您的击杀数必须大于死亡数才能购买圣剑"
		"cannotpullit"					                            	"你不能将它放置在地上"

		"you_cannot_buy_it"												"你不能购买它"
		"you_cannot_control_courier"					                "你不能使用信使"
		"already_voiting_against_troll"					                "你已经投过票了"
		"you_can_buy_only_one_item"					               		"此种类型的物品你只能买一个"

		"start_troll_voting_1"					               			"<font color='#FF1111'>[[[</font>%s1<font color='#FF1111'>]]]</font> Start voting for punishment against:"
		"start_troll_voting_2"					               			"<font color='#FF1111'>[[[</font>%s1<font color='#FF1111'>]]]</font>"
		"troll_voting_final"					               			"%s1 被票选为破坏游戏体验的不良玩家."
		"cannot_voite_against_high_tier_patreons"					    "你不能投票给高级赞助者"
		"target_has_troll_debuff_with_voiting"					   		"该玩家已被惩罚"

		"alertforban"					   								"警告：你的队友希望将你踢出当前游戏。"
		"playerhasalertforban"					   						"该玩家已收到警告。请稍后再试。"
		"DOTA_Tooltip_modifier_alert_before_kick_lua"					"踢出游戏时的警告"

		"patreonperktooltip_hint"					   						"选择此游戏的支持者特权"
		"close_patreons_game_perks_menu"					   				"关闭"
		"patreons_perk_hide_choose"					   						"选择您的特权"

		"LoadingTip_1"                "你可在游戏中使用自定义聊天轮盘（长按“L”键）。在使用时需要冷却。"
        "LoadingTip_2"                "12v12中的防御塔要比正常dota中的多1000点HP。其攻击速度也会更快，攻击时间从1秒下调为0.8秒。"
        "LoadingTip_3"                "如果在游戏中出现了钓鱼玩家，你可使用钓鱼玩家踢出物品发起投票。投票需要6人参加才能通过。请公正地使用。"
        "LoadingTip_4"                "在12v12中，重生速度将降低35%。"
        "LoadingTip_5"                "如果队友对你恶意使用能力，则可以对其使用“禁用帮助”物品来防止此类事件。你也可以在计分榜上勾选复选框，效果是一样的。"
        "LoadingTip_6"                "你可使用“静音玩家”物品来使玩家静音，也可以点击计分榜中其名字旁的图标实现相同效果。静音玩家后也不会听到他们的聊天轮盘垃圾话。"
        "LoadingTip_7"                "摧毁地方兵营会缩短己方团队的重生时间，同时也会增加敌方团队的重生时间，其改变程度相同。摧毁近战兵营将缩短2秒，远程兵营缩短1秒。如果摧毁了所有兵营，则还可额外缩短2秒的重生时间。"
		"LoadingTip_8"                "在12v12游戏中，泉水是非常强大的。其攻击带有怒意狂击（每次攻击提高1点伤害）、月刃（弹跳两次）与金箍棒（真实攻击）效果。即便是没有瞄准你，弹跳攻击也可能会造成极大伤害。小心。"
        "LoadingTip_9"                "支持者们将在购买后立即收到物品。其中不包括消耗品。"
        "LoadingTip_10"                "支持者可在游戏开始时选择更优越的Perk。高级支持者甚至能获得更好的Perk。"
        "LoadingTip_11"                "米拉娜的‘-70秒月之暗面冷却’天赋削减为-20秒。宙斯的静电场伤害是正常dota中的一半。"
        "LoadingTip_12"                "12v12是一款开源游戏，由一队致力于长久维护该游戏的开发人员进行开发工作。如果你喜欢这一定制游戏，同时也有足够的资金购买的话，请考虑支持我们。"
        "LoadingTip_13"                "通过右键点击最喜爱的聊天轮盘语句来保存。这会将其放入‘最爱’子菜单中。这些东西将在游戏场次之间进行保存/加载。"

		"patreon_perks_list_error_tier_0"                                       "该Perk仅适用于非支持者"
        "patreon_perks_list_error_tier_1"                                       "该Perk仅适用于支持者"
        "patreon_perks_list_error_tier_2"                                       "该Perk仅适用于高级支持者<br>(<font color='#28c41a'>25$</font>)"

		"patreon_game_perk_tolltip_tier_0"					   				"基础等级"
		"patreon_game_perk_tolltip_tier_1"					   				"第一等级"
		"patreon_game_perk_tolltip_tier_2"					   				"第二等级"

		"patreon_perk_mp_regen_t0" 						"初级魔法恢复"
		"patreon_perk_mp_regen_t0_tooltip" 				"+1.5魔法恢复"
		"patreon_perk_mp_regen_t1" 						"魔法恢复"
		"patreon_perk_mp_regen_t1_tooltip" 				"+1魔法恢复 并每级增长0.2"
        "patreon_perk_mp_regen_t2" 						"高级魔法恢复"
        "patreon_perk_mp_regen_t2_tooltip" 				"+2魔法恢复并每级增长0.4"
        "DOTA_Tooltip_patreon_perk_mp_regen_t0" 		"个人特权： 魔法恢复"
		"DOTA_Tooltip_patreon_perk_mp_regen_t1" 		"个人特权： 魔法恢复"
		"DOTA_Tooltip_patreon_perk_mp_regen_t2" 		"个人特权： M魔法恢复"
        
        "patreon_perk_hp_regen_t0" 						"初级生命恢复"
        "patreon_perk_hp_regen_t0_tooltip" 				"+3生命恢复"
        "patreon_perk_hp_regen_t1" 						"生命恢复"
        "patreon_perk_hp_regen_t1_tooltip" 				"+1生命恢复并每级增长0.5"
        "patreon_perk_hp_regen_t2" 						"高级生命恢复"
		"patreon_perk_hp_regen_t2_tooltip" 				"+1生命恢复并每级增长1"
		"DOTA_Tooltip_patreon_perk_hp_regen_t0" 		"个人特权：生命恢复"
		"DOTA_Tooltip_patreon_perk_hp_regen_t1" 		"个人特权：生命恢复"
		"DOTA_Tooltip_patreon_perk_hp_regen_t2" 		"个人特权： H生命恢复"
        
        "patreon_perk_bonus_movespeed_t0" 				"初级移动速度"
		"patreon_perk_bonus_movespeed_t0_tooltip" 		"+10移动速度"
        "patreon_perk_bonus_movespeed_t1" 				"移动速度"
		"patreon_perk_bonus_movespeed_t1_tooltip" 		"+15移动速度"
        "patreon_perk_bonus_movespeed_t2" 				"高级移动速度"
        "patreon_perk_bonus_movespeed_t2_tooltip" 		"+30移动速度"
        "DOTA_Tooltip_patreon_perk_bonus_movespeed_t0" 	"个人特权： 移动速度"
		"DOTA_Tooltip_patreon_perk_bonus_movespeed_t1" 	"个人特权： 移动速度"
		"DOTA_Tooltip_patreon_perk_bonus_movespeed_t2" 	"个人特权： 移动速度"
        
        "patreon_perk_bonus_agi_t0"						"初级敏捷"
        "patreon_perk_bonus_agi_t0_tooltip"				"每级+0.5敏捷"
        "patreon_perk_bonus_agi_t1"						"敏捷"
        "patreon_perk_bonus_agi_t1_tooltip"				"每级+1敏捷"
		"patreon_perk_bonus_agi_t2"						"高级敏捷"
		"patreon_perk_bonus_agi_t2_tooltip"				"每级+2敏捷"
		"DOTA_Tooltip_patreon_perk_bonus_agi_t0" 		"个人特权： 敏捷"
		"DOTA_Tooltip_patreon_perk_bonus_agi_t1" 		"个人特权： 敏捷"
		"DOTA_Tooltip_patreon_perk_bonus_agi_t2" 		"个人特权： 敏捷"
        
        "patreon_perk_bonus_str_t0"						"初级力量"
        "patreon_perk_bonus_str_t0_tooltip"				"每级+0.5力量"
        "patreon_perk_bonus_str_t1"						"力量"
        "patreon_perk_bonus_str_t1_tooltip"				"每级+1力量"
        "patreon_perk_bonus_str_t2"						"高级力量"
        "patreon_perk_bonus_str_t2_tooltip"				"每级+2力量"
        "DOTA_Tooltip_patreon_perk_bonus_str_t0" 		"个人特权： 力量"
		"DOTA_Tooltip_patreon_perk_bonus_str_t1" 		"个人特权： 力量"
		"DOTA_Tooltip_patreon_perk_bonus_str_t2" 		"个人特权： 力量"
        
        "patreon_perk_bonus_int_t0"						"初级智力"
        "patreon_perk_bonus_int_t0_tooltip"				"每级+0.5智力"
        "patreon_perk_bonus_int_t1"						"智力"
        "patreon_perk_bonus_int_t1_tooltip"				"每级+1智力"
		"patreon_perk_bonus_int_t2"						"高级智力"
		"patreon_perk_bonus_int_t2_tooltip"				"每级+2智力"
		"DOTA_Tooltip_patreon_perk_bonus_int_t0" 		"个人特权： 智力"
		"DOTA_Tooltip_patreon_perk_bonus_int_t1" 		"个人特权： 智力"
		"DOTA_Tooltip_patreon_perk_bonus_int_t2" 		"个人特权： 智力"
        
        "patreon_perk_bonus_all_stats_t0" 				"初级全属性"
        "patreon_perk_bonus_all_stats_t0_tooltip" 		"每级+0.25所有属性"
        "patreon_perk_bonus_all_stats_t1" 				"全属性"
        "patreon_perk_bonus_all_stats_t1_tooltip" 		"每级+0.5所有属性"
		"patreon_perk_bonus_all_stats_t2" 				"高级全属性"
		"patreon_perk_bonus_all_stats_t2_tooltip" 		"每级+1所有属性"
		"DOTA_Tooltip_patreon_perk_bonus_all_stats_t0" 	"个人特权： 全属性"
		"DOTA_Tooltip_patreon_perk_bonus_all_stats_t1" 	"个人特权： 全属性"
		"DOTA_Tooltip_patreon_perk_bonus_all_stats_t2" 	"个人特权： 全属性"
        
        "patreon_perk_attack_range_t0"					"初级攻击范围"
        "patreon_perk_attack_range_t0_tooltip"			"+35攻击范围（远程英雄）或+15攻击范围（近战英雄）"
        "patreon_perk_attack_range_t1"					"攻击范围"
        "patreon_perk_attack_range_t1_tooltip"			"+75攻击范围"
        "patreon_perk_attack_range_t2"					"高级攻击范围"
        "patreon_perk_attack_range_t2_tooltip"			"+150攻击范围"
        "DOTA_Tooltip_patreon_perk_attack_range_t0" 	"个人特权： 攻击范围"
		"DOTA_Tooltip_patreon_perk_attack_range_t1" 	"个人特权： 攻击范围"
		"DOTA_Tooltip_patreon_perk_attack_range_t2" 	"个人特权： 攻击范围"
        
        "patreon_perk_bonus_hp_pct_t0"					"铜铸体质"
        "patreon_perk_bonus_hp_pct_t0_tooltip"			"+6%生命值"
        "patreon_perk_bonus_hp_pct_t1"					"铁铸体质"
        "patreon_perk_bonus_hp_pct_t1_tooltip"			"+8%生命值"
        "patreon_perk_bonus_hp_pct_t2"					"钢铸体质"
        "patreon_perk_bonus_hp_pct_t2_tooltip"			"+16%生命值"
        "DOTA_Tooltip_patreon_perk_bonus_hp_pct_t0" 	"个人特权： 铁铸体质"
		"DOTA_Tooltip_patreon_perk_bonus_hp_pct_t1" 	"个人特权： 铁铸体质"
		"DOTA_Tooltip_patreon_perk_bonus_hp_pct_t2" 	"个人特权： 铁铸体质"
        
        "patreon_perk_cast_range_t0"					"初级施法距离"
        "patreon_perk_cast_range_t0_tooltip"			"+50施法距离"
        "patreon_perk_cast_range_t1"					"施法距离"
        "patreon_perk_cast_range_t1_tooltip"			"+100施法距离"
        "patreon_perk_cast_range_t2"					"高级施法距离"
        "patreon_perk_cast_range_t2_tooltip"			"+200施法距离"
        "DOTA_Tooltip_patreon_perk_cast_range_t0" 		"个人特权： 施法距离"
		"DOTA_Tooltip_patreon_perk_cast_range_t1" 		"个人特权： 施法距离"
		"DOTA_Tooltip_patreon_perk_cast_range_t2" 		"个人特权： 施法距离"
        
        "patreon_perk_cooldown_reduction_t0"			"初级冷却时间减少"
        "patreon_perk_cooldown_reduction_t0_tooltip"	"冷却时间减少4%"
        "patreon_perk_cooldown_reduction_t1"			"冷却时间减少"
        "patreon_perk_cooldown_reduction_t1_tooltip"	"冷却时间减少8%"
        "patreon_perk_cooldown_reduction_t2"			"高级冷却时间减少"
        "patreon_perk_cooldown_reduction_t2_tooltip"	"冷却时间减少16%"
        "DOTA_Tooltip_patreon_perk_cooldown_reduction_t0"	"个人特权： 冷却时间减少"
		"DOTA_Tooltip_patreon_perk_cooldown_reduction_t1"	"个人特权： 冷却时间减少"
		"DOTA_Tooltip_patreon_perk_cooldown_reduction_t2"	"个人特权： 冷却时间减少"
        
        "patreon_perk_damage_t0"						"初级额外伤害"
        "patreon_perk_damage_t0_tooltip"				"+5点伤害并每级增长0.5点"
        "patreon_perk_damage_t1"						"额外伤害"
        "patreon_perk_damage_t1_tooltip"				"+10点伤害并每级增长1点"
        "patreon_perk_damage_t2"						"高级额外伤害"
        "patreon_perk_damage_t2_tooltip"				"+20点伤害并每级增长2点"
        "DOTA_Tooltip_patreon_perk_damage_t0"			"个人特权： 额外伤害"
 		"DOTA_Tooltip_patreon_perk_damage_t1"			"个人特权： 额外伤害"
		"DOTA_Tooltip_patreon_perk_damage_t2"			"个人特权： B额外伤害"
        
        "patreon_perk_evasion_t0"						"初级闪避"
        "patreon_perk_evasion_t0_tooltip"				"+5%闪避"
        "patreon_perk_evasion_t1"						"闪避"
        "patreon_perk_evasion_t1_tooltip"				"+10%闪避"
        "patreon_perk_evasion_t2"						"高级闪避"
        "patreon_perk_evasion_t2_tooltip"				"+20%闪避"
        "DOTA_Tooltip_patreon_perk_evasion_t0"			"个人特权： 闪避"
		"DOTA_Tooltip_patreon_perk_evasion_t1"			"个人特权： 闪避"
		"DOTA_Tooltip_patreon_perk_evasion_t2"			"个人特权： 闪避"
        
        "patreon_perk_lifesteal_t0"						"初级吸血"
        "patreon_perk_lifesteal_t0_tooltip"				"+4%吸血"
        "patreon_perk_lifesteal_t1"						"吸血"
        "patreon_perk_lifesteal_t1_tooltip"				"+8%吸血"
        "patreon_perk_lifesteal_t2"						"高级吸血"
        "patreon_perk_lifesteal_t2_tooltip"				"+16%吸血"
        "DOTA_Tooltip_patreon_perk_lifesteal_t0"		"个人特权： 吸血"
		"DOTA_Tooltip_patreon_perk_lifesteal_t1"		"个人特权： 吸血"
		"DOTA_Tooltip_patreon_perk_lifesteal_t2"		"个人特权： 吸血"
        
        "patreon_perk_mag_resist_t0"					"初级魔法抗性"
        "patreon_perk_mag_resist_t0_tooltip"			"+5%魔法抗性"
        "patreon_perk_mag_resist_t1"					"魔法抗性"
        "patreon_perk_mag_resist_t1_tooltip"			"+10%魔法抗性"
        "patreon_perk_mag_resist_t2"					"高级魔法抗性"
        "patreon_perk_mag_resist_t2_tooltip"			"+25%魔法抗性"
        "DOTA_Tooltip_patreon_perk_mag_resist_t0"		"个人特权： 魔法抗性"
		"DOTA_Tooltip_patreon_perk_mag_resist_t1"		"个人特权： 魔法抗性"
		"DOTA_Tooltip_patreon_perk_mag_resist_t2"		"个人特权： 魔法抗性"
        
        "patreon_perk_spell_amp_t0"						"初级技能增强"
        "patreon_perk_spell_amp_t0_tooltip"				"+5%技能增强"
        "patreon_perk_spell_amp_t1"						"技能增强"
        "patreon_perk_spell_amp_t1_tooltip"				"+10%技能增强"
        "patreon_perk_spell_amp_t2"						"高级技能增强"
        "patreon_perk_spell_amp_t2_tooltip"				"+20%技能增强"
        "DOTA_Tooltip_patreon_perk_spell_amp_t0"		"个人特权： 技能增强"
		"DOTA_Tooltip_patreon_perk_spell_amp_t1"		"个人特权： 技能增强"
		"DOTA_Tooltip_patreon_perk_spell_amp_t2"		"个人特权： 技能增强"
        
        "patreon_perk_spell_lifesteal_t0"				"初级技能吸血"
        "patreon_perk_spell_lifesteal_t0_tooltip"		"+2%技能吸血"
        "patreon_perk_spell_lifesteal_t1"				"技能吸血"
        "patreon_perk_spell_lifesteal_t1_tooltip"		"+4%技能吸血"
        "patreon_perk_spell_lifesteal_t2"				"高级技能吸血"
        "patreon_perk_spell_lifesteal_t2_tooltip"		"+8%技能吸血"
        "DOTA_Tooltip_patreon_perk_spell_lifesteal_t0"	"个人特权： 技能吸血"
		"DOTA_Tooltip_patreon_perk_spell_lifesteal_t1"	"个人特权： 技能吸血"
		"DOTA_Tooltip_patreon_perk_spell_lifesteal_t2"	"个人特权： 技能吸血"

        "patreon_perk_status_resistance_t0"				"基本状态抵抗"
		"patreon_perk_status_resistance_t0_tooltip"		"+8% 状态抗性"
		"patreon_perk_status_resistance_t1"				"状态抗性"
		"patreon_perk_status_resistance_t1_tooltip"		"+16% 状态抗性"
		"patreon_perk_status_resistance_t2"				"高级状态抗性"
		"patreon_perk_status_resistance_t2_tooltip"		"+32% 状态抗性"
		"DOTA_Tooltip_patreon_perk_status_resistance_t0"	"个人特权： 状态抗性"
		"DOTA_Tooltip_patreon_perk_status_resistance_t1"	"个人特权： 状态抗性"
		"DOTA_Tooltip_patreon_perk_status_resistance_t2"	"个人特权： 状态抗性"

		"patreon_perk_outcomming_heal_amplify_t0"			"初级治疗增强"
		"patreon_perk_outcomming_heal_amplify_t0_tooltip"	"自身提供的治疗效果提升7%"
		"patreon_perk_outcomming_heal_amplify_t1"			"治疗增强"
		"patreon_perk_outcomming_heal_amplify_t1_tooltip"	"自身提供的治疗效果提升14%"
		"patreon_perk_outcomming_heal_amplify_t2"			"高级治疗增强"
		"patreon_perk_outcomming_heal_amplify_t2_tooltip"	"自身提供的治疗效果提升28%"
		"DOTA_Tooltip_patreon_perk_outcomming_heal_amplify_t0"	"个人特权： 治疗增强"
		"DOTA_Tooltip_patreon_perk_outcomming_heal_amplify_t1"	"个人特权： 治疗增强"
		"DOTA_Tooltip_patreon_perk_outcomming_heal_amplify_t2"	"个人特权： 治疗增强"

		"patreon_perk_debuff_time_t0"                    "基础诅咒增益"
        "patreon_perk_debuff_time_t0_tooltip"            "+8%提高所有输出debuff持续时间"
        "DOTA_Tooltip_patreon_perk_debuff_time_t0"        "个人Perk：诅咒增益"
        "patreon_perk_debuff_time_t1"                    "诅咒增益"
        "patreon_perk_debuff_time_t1_tooltip"            "+16%提高所有输出debuff持续时间"
        "DOTA_Tooltip_patreon_perk_debuff_time_t1"        "个人Perk：诅咒增益"
        "patreon_perk_debuff_time_t2"                    "高级诅咒增益"
        "patreon_perk_debuff_time_t2_tooltip"            "+32%提高所有输出debuff持续时间"
        "DOTA_Tooltip_patreon_perk_debuff_time_t2"        "个人Perk：诅咒增益"

        "patreon_perk_bonus_gold_t0"                    "少许金币"
        "patreon_perk_bonus_gold_t0_tooltip"            "+200金币"
        "DOTA_Tooltip_patreon_perk_bonus_gold_t0"        "个人Perk：额外金币"
        "patreon_perk_bonus_gold_t1"                    "额外金币"
